"SID","lat","lon","elev","name"
78897,16.2639,-61.5164,8,"LE RAIZET AERO"
78954,13.0667,-59.4833,56,"GRANTLEY ADAMS"
78970,10.6167,-61.35,15,"PIARCO INT. AIRPORT,  TRINIDAD"
78988,12.2,-68.9667,9,"HATO AIRPORT, CURACAO"
80001,12.5833,-81.7167,6,"SAN ANDRES (ISLA)/SESQUICENTENARIO"
80222,4.7,-74.15,2546,"BOGOTA/ELDORADO"
80398,-4.1667,-69.95,84,"LETICIA/VASQUEZ COBO"
81405,4.8222,-52.3653,9,"ROCHAMBEAU"
82022,2.8333,-60.7,140,"BOA VISTA (AERO)"
82026,2.2239,-55.9472,326,"TIRIOS"
82099,0.05,-51.0667,17,"MACAPA (AERO)"
82107,-0.1167,-66.9667,79,"SAO GABRIEL DA CACHOEIRA (AERO)"
82193,-1.3833,-48.4833,16,"BELEM (AERO)"
82244,-2.4333,-54.7167,72,"SANTAREM (AERO)"
82332,-3.15,-59.9833,84,"MANAUS (AERO)"
82400,-3.85,-32.4167,56,"FERNANDO DE NORONHA"
82411,-4.25,-69.9333,81,"TABATINGA (AERO)"
82532,-5.8167,-61.2833,53,"MANICORE (AERO)"
82599,-5.9167,-35.25,52,"NATAL (AERO)"
82705,-7.5833,-72.7667,199,"CRUZEIRO DO SUL (AERO)"
82824,-8.7667,-63.9167,102,"PORTO VELHO (AERO)"
82917,-10,-67.8,143,"RIO BRANCO (AERO)"
82965,-9.8667,-56.1,288,"ALTA FLORESTA (AERO)"
83208,-12.7,-60.1,612,"VILHENA (AERO)"
83362,-15.65,-56.1,187,"CUIABA (AERO)"
83378,-15.8667,-47.9333,1061,"BRASILIA (AERO)"
83525,-18.8833,-48.2167,943,"UBERLANDIA (AERO)"
83554,-19,-57.6667,142,"CORUMBA (AERO)"
83566,-19.6167,-43.9667,828,"CONFINS (AERO)"
83612,-20.4667,-54.6667,567,"CAMPO GRANDE (AERO)"
83649,-20.2667,-40.2833,4,"VITORIA (AERO)"
83768,-23.3333,-51.1333,569,"LONDRINA (AERO)"
83779,-23.5,-46.6333,722,"MARTE (AERO)"
83827,-25.5167,-54.5833,180,"FOZ DO IGUACU (AERO)"
83840,-25.5167,-49.1667,908,"CURITIBA (AERO)"
83899,-27.6667,-48.55,5,"FLORIANOPOLIS (AERO)"
83928,-29.7833,-57.0333,74,"URUGUAIANA (AERO)"
83937,-29.7167,-53.7,85,"SANTA MARIA (AERO)"
85442,-23.4503,-70.4408,113,"ANTOFAGASTA"
85586,-33.6547,-71.6144,73,"SANTO DOMINGO"
85799,-41.4347,-73.0975,84,"PUERTO MONTT"
85934,-53.0053,-70.8386,38,"PUNTA ARENAS"
87155,-27.45,-59.05,52,"RESISTENCIA AERO"
87344,-31.3167,-64.2167,474,"CORDOBA AERO"
87418,-32.8333,-68.7833,704,"MENDOZA AERO"
87623,-36.5667,-64.2667,191,"SANTA ROSA AERO"
87715,-38.95,-68.1333,271,"NEUQUEN AERO"
87860,-45.7833,-67.5,46,"COMODORO RIVADAVIA AERO"
88889,-51.82,-58.4481,74,"MOUNT PLEASANT AIRPORT"
89002,-70.6667,-8.25,50,"NEUMAYER"
89022,-75.5833,-26.7,33,"HALLEY"
89055,-64.2333,-56.7167,200,"BASE MARAMBIO (CENTRO MET. ANTARTICO)"
89062,-67.5703,-68.1236,33,"ROTHERA"
89532,-69.0053,39.5811,21.8,"SYOWA"
89564,-67.6017,62.8753,16,"MAWSON"
89571,-68.5744,77.9672,23.2,"DAVIS"
89611,-66.2825,110.5231,42.3,"CASEY"
89625,-75.1017,123.4119,3234,"CONCORDIA"
89642,-66.6631,140.0011,43,"DUMONT D'URVILLE"
89664,-77.85,166.6667,24,"MCMURDO"
91165,21.9933,-159.3467,31.7,"LIHUE, KAUAI, HAWAII"
91212,13.4767,144.7944,75.3,"WEATHER FORECAST OFFICE, GUAM, MARIANA IS."
91285,19.7183,-155.0583,10.4,"HILO HI, HAWAII"
91334,7.4539,151.8425,3.4,"WEATHER SERVICE OFFICE, CHUUK, ECI"
91348,6.9619,158.2067,37.8,"WEATHER SERVICE OFFICE, POHNPEI, CAROLINE IS."
91376,7.0864,171.3908,2.7,"MAJURO/MARSHALL IS. INTNL."
91408,7.3397,134.4886,29.9,"WEATHER SERVICE OFFICE, KOROR, PALAU WCI."
91413,9.4975,138.0814,14.9,"WEATHER SERVICE OFFICE, YAP, CAROLINE IS."
91592,-22.2761,166.4528,69,"NOUMEA (NLLE-CALEDONIE)"
91610,1.35,172.9167,4,"TARAWA"
91643,-8.5167,179.2167,2,"FUNAFUTI"
91680,-17.75,177.45,24,"NADI AIRPORT"
91765,-14.3383,-170.7192,4.9,"PAGO PAGO/INT.AIRP. AMERICAN SAMOA"
91925,-9.8061,-139.0356,53,"HIVA-OA"
91938,-17.5553,-149.6144,2,"TAHITI-FAAA"
91948,-23.1303,-134.9653,89,"MANGAREVA"
91958,-27.6183,-144.3347,2,"RAPA"
93112,-36.7928,174.6214,30.5,"WHENUAPAI"
93417,-40.9044,174.9839,7.86,"PARAPARAUMU AERODROME"
93844,-46.4178,168.3306,4.01,"INVERCARGILL AIRPORT"
94120,-12.4239,130.8925,35,"DARWIN AIRPORT"
94170,-12.6778,141.9208,19,"WEIPA AERO"
94203,-17.9475,122.2353,9,"BROOME AIRPORT"
94299,-16.2878,149.9653,9,"WILLIS ISLAND"
94302,-22.2406,114.0967,5.5,"LEARMONTH AIRPORT"
94312,-20.3725,118.6317,8.4,"PORT HEDLAND AIRPORT"
94326,-23.795,133.8889,547,"ALICE SPRINGS AIRPORT"
94332,-20.6778,139.4875,340.9,"MOUNT ISA AERO"
94403,-28.8044,114.6989,30.2,"GERALDTON AIRPORT"
94430,-26.6136,118.5372,519,"MEEKATHARRA AIRPORT"
94461,-25.0342,128.3011,599,"GILES METEOROLOGICAL OFFICE"
94510,-26.4139,146.2558,303.3,"CHARLEVILLE AERO"
94578,-27.3917,153.1292,9.5,"BRISBANE AERO"
94610,-31.9275,115.9764,20,"PERTH AIRPORT"
94637,-30.7847,121.4533,370.1,"KALGOORLIE-BOULDER AIRPORT"
94659,-31.1558,136.8053,168.5,"WOOMERA AERODROME"
94672,-34.9525,138.5203,8.2,"ADELAIDE AIRPORT"
94711,-31.4839,145.8294,263.6,"COBAR MO"
94767,-33.9464,151.1731,5,"SYDNEY AIRPORT AMO"
94802,-34.9414,117.8022,69,"ALBANY AIRPORT"
94821,-37.7472,140.7739,69,"MOUNT GAMBIER AERO"
94866,-37.6656,144.8322,118.8,"MELBOURNE AIRPORT"
94910,-35.1583,147.4572,213,"WAGGA WAGGA AMO"
94995,-31.5422,159.0786,7,"LORD HOWE ISLAND AERO"
94996,-29.0389,167.9408,116.7,"NORFOLK ISLAND AERO"
94998,-54.4994,158.9369,8.3,"MACQUARIE ISLAND"
95527,-29.4897,149.8472,218.5,"MOREE AERO"
96035,3.5667,98.6833,25,"MEDAN/POLONIA"
96147,3.95,108.3833,2,"RANAI"
96163,-0.8833,100.35,3,"PADANG/TABING"
96237,-2.1667,106.1333,33,"PANGKAL PINANG"
96315,4.9333,114.9333,15,"BRUNEI AIRPORT"
96413,1.4833,110.3333,27,"KUCHING"
96441,3.2,113.0333,5,"BINTULU"
96471,5.9333,116.05,3,"KOTA KINABALU"
96481,4.2667,117.8833,20,"TAWAU"
96749,-6.1167,106.65,8,"JAKARTA/SOEKARNO-HATTA"
96935,-7.3667,112.7667,3,"SURABAYA/JUANDA"
96996,-12.1833,96.8333,4,"COCOS ISLAND AERO"
97014,1.5333,124.9167,80,"MENADO/ SAM RATULANGI"
97072,-0.6833,119.7333,6,"PALU/MUTIARA"
97180,-5.0667,119.55,14,"UJUNG PANDANG/HASANUDDIN"
97372,-10.1667,123.6667,108,"KUPANG/ELTARI"
97560,-1.1833,136.1167,11,"BIAK/FRANS KAISIEPO"
97724,-3.7,128.0833,12,"AMBON/PATTIMURA"
97980,-8.4667,140.3833,3,"MERAUKE/MOPAH"
98223,18.1833,120.5333,5,"LAOAG"
98433,14.5667,121.3667,651,"TANAY"
98444,13.1333,123.7333,17,"LEGASPI"
98618,9.75,118.7333,15,"PUERTO PRINCESA"
98753,7.1167,125.65,18,"DAVAO AIRPORT"
